image_id,image_path,mask_path,label,has_polyp,ymin,xmin,ymax,xmax,area_px,relative_area,split
polyp_0024,images\polyp_0024.jpg,masks\polyp_0024_mask.png,polyp,1,128,123,190,167,2219,0.0442,train
polyp_0025,images\polyp_0025.jpg,masks\polyp_0025_mask.png,normal,0,0,0,0,0,0,0.0,train
polyp_0026,images\polyp_0026.jpg,masks\polyp_0026_mask.png,polyp,1,99,20,145,80,2251,0.0449,train
polyp_0027,images\polyp_0027.jpg,masks\polyp_0027_mask.png,polyp,1,50,89,88,153,1987,0.0396,train
polyp_0028,images\polyp_0028.jpg,masks\polyp_0028_mask.png,polyp,1,113,117,151,147,945,0.0188,train
polyp_0029,images\polyp_0029.jpg,masks\polyp_0029_mask.png,polyp,1,111,96,155,148,1877,0.0374,train
polyp_0030,images\polyp_0030.jpg,masks\polyp_0030_mask.png,normal,0,0,0,0,0,0,0.0,train
polyp_0031,images\polyp_0031.jpg,masks\polyp_0031_mask.png,polyp,1,44,82,92,114,1269,0.0253,train
polyp_0032,images\polyp_0032.jpg,masks\polyp_0032_mask.png,polyp,1,62,25,122,87,3011,0.06,train
polyp_0033,images\polyp_0033.jpg,masks\polyp_0033_mask.png,polyp,1,125,119,169,157,1371,0.0273,train
polyp_0034,images\polyp_0034.jpg,masks\polyp_0034_mask.png,polyp,1,55,117,117,181,3211,0.064,train
polyp_0035,images\polyp_0035.jpg,masks\polyp_0035_mask.png,normal,0,0,0,0,0,0,0.0,train
polyp_0036,images\polyp_0036.jpg,masks\polyp_0036_mask.png,polyp,1,41,63,71,95,803,0.016,train
polyp_0037,images\polyp_0037.jpg,masks\polyp_0037_mask.png,polyp,1,144,113,176,161,1269,0.0253,train
polyp_0038,images\polyp_0038.jpg,masks\polyp_0038_mask.png,polyp,1,118,61,158,91,999,0.0199,train
polyp_0039,images\polyp_0039.jpg,masks\polyp_0039_mask.png,polyp,1,73,145,117,175,1099,0.0219,train
polyp_0040,images\polyp_0040.jpg,masks\polyp_0040_mask.png,normal,0,0,0,0,0,0,0.0,train
polyp_0041,images\polyp_0041.jpg,masks\polyp_0041_mask.png,polyp,1,83,111,131,149,1495,0.0298,train
polyp_0042,images\polyp_0042.jpg,masks\polyp_0042_mask.png,polyp,1,96,132,148,188,2365,0.0471,train
polyp_0043,images\polyp_0043.jpg,masks\polyp_0043_mask.png,polyp,1,94,20,152,84,3007,0.0599,train
polyp_0044,images\polyp_0044.jpg,masks\polyp_0044_mask.png,polyp,1,81,120,117,176,1653,0.0329,train
polyp_0045,images\polyp_0045.jpg,masks\polyp_0045_mask.png,normal,0,0,0,0,0,0,0.0,train
polyp_0046,images\polyp_0046.jpg,masks\polyp_0046_mask.png,polyp,1,121,138,175,182,1943,0.0387,train
polyp_0047,images\polyp_0047.jpg,masks\polyp_0047_mask.png,polyp,1,68,133,122,183,2201,0.0439,train
polyp_0048,images\polyp_0048.jpg,masks\polyp_0048_mask.png,polyp,1,76,86,116,132,1507,0.03,train
polyp_0049,images\polyp_0049.jpg,masks\polyp_0049_mask.png,polyp,1,61,26,107,76,1881,0.0375,train
polyp_0050,images\polyp_0050.jpg,masks\polyp_0050_mask.png,normal,0,0,0,0,0,0,0.0,train
polyp_0051,images\polyp_0051.jpg,masks\polyp_0051_mask.png,polyp,1,109,83,147,119,1127,0.0225,train
polyp_0052,images\polyp_0052.jpg,masks\polyp_0052_mask.png,polyp,1,37,52,101,118,3411,0.068,train
polyp_0053,images\polyp_0053.jpg,masks\polyp_0053_mask.png,polyp,1,68,34,122,88,2369,0.0472,train
polyp_0054,images\polyp_0054.jpg,masks\polyp_0054_mask.png,polyp,1,55,63,123,111,2653,0.0529,train
polyp_0055,images\polyp_0055.jpg,masks\polyp_0055_mask.png,normal,0,0,0,0,0,0,0.0,train
polyp_0056,images\polyp_0056.jpg,masks\polyp_0056_mask.png,polyp,1,70,28,102,76,1269,0.0253,train
polyp_0057,images\polyp_0057.jpg,masks\polyp_0057_mask.png,polyp,1,72,70,118,102,1215,0.0242,train
polyp_0058,images\polyp_0058.jpg,masks\polyp_0058_mask.png,polyp,1,33,27,83,89,2517,0.0502,train
polyp_0059,images\polyp_0059.jpg,masks\polyp_0059_mask.png,polyp,1,118,138,168,180,1725,0.0344,train
polyp_0060,images\polyp_0060.jpg,masks\polyp_0060_mask.png,normal,0,0,0,0,0,0,0.0,train
polyp_0061,images\polyp_0061.jpg,masks\polyp_0061_mask.png,polyp,1,90,65,150,129,3105,0.0619,train
polyp_0062,images\polyp_0062.jpg,masks\polyp_0062_mask.png,polyp,1,120,140,170,190,2025,0.0404,train
polyp_0063,images\polyp_0063.jpg,masks\polyp_0063_mask.png,polyp,1,17,34,83,70,1947,0.0388,train
polyp_0064,images\polyp_0064.jpg,masks\polyp_0064_mask.png,polyp,1,102,106,158,172,2987,0.0595,train
polyp_0065,images\polyp_0065.jpg,masks\polyp_0065_mask.png,normal,0,0,0,0,0,0,0.0,train
polyp_0066,images\polyp_0066.jpg,masks\polyp_0066_mask.png,polyp,1,112,45,162,87,1725,0.0344,train
polyp_0067,images\polyp_0067.jpg,masks\polyp_0067_mask.png,polyp,1,55,21,101,81,2251,0.0449,train
polyp_0068,images\polyp_0068.jpg,masks\polyp_0068_mask.png,polyp,1,31,59,83,101,1783,0.0355,train
polyp_0069,images\polyp_0069.jpg,masks\polyp_0069_mask.png,polyp,1,72,50,110,82,1011,0.0201,train
polyp_0070,images\polyp_0070.jpg,masks\polyp_0070_mask.png,normal,0,0,0,0,0,0,0.0,val
polyp_0071,images\polyp_0071.jpg,masks\polyp_0071_mask.png,polyp,1,45,57,111,99,2265,0.0451,val
polyp_0072,images\polyp_0072.jpg,masks\polyp_0072_mask.png,polyp,1,79,138,131,186,2037,0.0406,val
polyp_0073,images\polyp_0073.jpg,masks\polyp_0073_mask.png,polyp,1,105,113,163,179,3105,0.0619,val
polyp_0074,images\polyp_0074.jpg,masks\polyp_0074_mask.png,polyp,1,114,141,176,173,1631,0.0325,val
polyp_0075,images\polyp_0075.jpg,masks\polyp_0075_mask.png,normal,0,0,0,0,0,0,0.0,val
polyp_0076,images\polyp_0076.jpg,masks\polyp_0076_mask.png,polyp,1,67,104,113,154,1881,0.0375,val
polyp_0077,images\polyp_0077.jpg,masks\polyp_0077_mask.png,polyp,1,130,111,186,157,2095,0.0418,val
polyp_0078,images\polyp_0078.jpg,masks\polyp_0078_mask.png,polyp,1,38,113,96,171,2725,0.0543,val
polyp_0079,images\polyp_0079.jpg,masks\polyp_0079_mask.png,polyp,1,18,100,82,134,1783,0.0355,val
polyp_0080,images\polyp_0080.jpg,masks\polyp_0080_mask.png,normal,0,0,0,0,0,0,0.0,val
polyp_0081,images\polyp_0081.jpg,masks\polyp_0081_mask.png,polyp,1,126,47,164,109,1925,0.0384,val
polyp_0082,images\polyp_0082.jpg,masks\polyp_0082_mask.png,polyp,1,110,85,148,147,1925,0.0384,val
polyp_0083,images\polyp_0083.jpg,masks\polyp_0083_mask.png,polyp,1,127,93,173,133,1507,0.03,val
polyp_0084,images\polyp_0084.jpg,masks\polyp_0084_mask.png,polyp,1,66,117,120,181,2807,0.0559,val
polyp_0085,images\polyp_0085.jpg,masks\polyp_0085_mask.png,normal,0,0,0,0,0,0,0.0,test
polyp_0086,images\polyp_0086.jpg,masks\polyp_0086_mask.png,polyp,1,145,64,199,102,1681,0.0335,test
polyp_0087,images\polyp_0087.jpg,masks\polyp_0087_mask.png,polyp,1,112,80,160,116,1421,0.0283,test
polyp_0088,images\polyp_0088.jpg,masks\polyp_0088_mask.png,polyp,1,108,140,172,204,3305,0.0659,test
polyp_0089,images\polyp_0089.jpg,masks\polyp_0089_mask.png,polyp,1,94,141,126,183,1107,0.0221,test
polyp_0090,images\polyp_0090.jpg,masks\polyp_0090_mask.png,normal,0,0,0,0,0,0,0.0,test
polyp_0091,images\polyp_0091.jpg,masks\polyp_0091_mask.png,polyp,1,143,100,177,166,1841,0.0367,test
polyp_0092,images\polyp_0092.jpg,masks\polyp_0092_mask.png,polyp,1,77,64,137,98,1675,0.0334,test
polyp_0093,images\polyp_0093.jpg,masks\polyp_0093_mask.png,polyp,1,122,40,160,108,2111,0.0421,test
polyp_0094,images\polyp_0094.jpg,masks\polyp_0094_mask.png,polyp,1,122,55,184,109,2721,0.0542,test
polyp_0095,images\polyp_0095.jpg,masks\polyp_0095_mask.png,normal,0,0,0,0,0,0,0.0,test
polyp_0096,images\polyp_0096.jpg,masks\polyp_0096_mask.png,polyp,1,22,38,80,96,2725,0.0543,test
polyp_0097,images\polyp_0097.jpg,masks\polyp_0097_mask.png,polyp,1,136,97,200,139,2187,0.0436,test
polyp_0098,images\polyp_0098.jpg,masks\polyp_0098_mask.png,polyp,1,137,44,193,108,2901,0.0578,test
polyp_0099,images\polyp_0099.jpg,masks\polyp_0099_mask.png,polyp,1,41,125,85,177,1877,0.0374,test
